GENEID	F01counts	C01counts	E01counts	G01counts	H01counts	D01counts
ENSG00000004468	87	0	0	32	0	0
ENSG00000004478	2017	280	15	975	1994	280
ENSG00000004487	3665	4204	16	3826	3275	4204
ENSG00000004534	11029	12349	3688	13596	14305	12349
ENSG00000004660	73	52	0	220	1	52
ENSG00000004700	2809	1122	0	3045	2952	1122
ENSG00000004766	154	608	0	704	0	608
ENSG00000004776	0	0	0	0	0	0
ENSG00000004777	528	221	1	300	0	221
ENSG00000004779	1847	1353	9	862	2472	1353
ENSG00000004799	0	0	5	0	0	0
ENSG00000004809	0	0	0	0	0	0
ENSG00000004838	1	290	0	142	0	290
ENSG00000004846	0	0	0	0	4	0
ENSG00000004848	0	0	13	0	0	0
ENSG00000004864	2	0	0	158	1	0
ENSG00000004866	392	20	0	89	2	20
ENSG00000004897	1080	652	14	430	377	652
ENSG00000004939	0	0	0	0	0	0
ENSG00000004948	0	0	0	0	0	0
ENSG00000004961	894	1469	1	1250	1	1469
ENSG00000004975	2903	3992	46	3366	3451	3992
ENSG00000005001	0	0	0	0	0	0
ENSG00000005007	772	1102	65	2269	60	1102
ENSG00000005020	0	199	9784	0	2411	199
ENSG00000005022	4630	4156	7630	2227	2542	4156
ENSG00000005059	6703	5789	30	6915	2753	5789
ENSG00000005073	0	0	0	0	0	0
ENSG00000005075	1361	1475	2	1073	965	1475
ENSG00000005100	7	87	0	20	19	87
ENSG00000005102	0	79	0	108	738	79
ENSG00000005108	0	0	0	0	0	0
ENSG00000005156	18	279	2	490	1	279
ENSG00000005175	2466	798	2	1526	4175	798
ENSG00000005187	3	0	509	10	1	0
ENSG00000005189	0	0	0	0	0	0
ENSG00000005194	1269	1096	5	2467	39	1096
ENSG00000005206	1082	1209	67	2154	2706	1209
ENSG00000005238	4	0	1	124	7	0
ENSG00000005243	0	0	0	27	0	0
ENSG00000005249	0	1	1	0	1	1
ENSG00000005302	7472	4103	307	4807	6326	4103
ENSG00000005339	646	987	19	1376	3551	987
ENSG00000005379	514	5	5	175	9	5
ENSG00000005381	0	0	0	0	0	0
ENSG00000005421	0	0	0	0	0	0
ENSG00000005436	1209	1020	0	665	1035	1020
ENSG00000005448	6392	2293	2903	6382	2355	2293
ENSG00000005469	69	3	0	217	0	3
ENSG00000005471	0	0	8	0	0	0
ENSG00000005483	21583	11587	4898	19111	22964	11587
ENSG00000005486	12030	12442	13945	11164	19869	12442
ENSG00000005513	261	439	0	225	1	439
ENSG00000005700	8	280	17	384	908	280
ENSG00000005801	351	780	4	1542	25	780
ENSG00000005810	2564	1975	38	1594	431	1975
ENSG00000005812	1181	1580	40	2108	3246	1580
ENSG00000005844	2312	399	54	2392	13819	399
ENSG00000005882	1077	740	5343	605	2	740
ENSG00000005884	159	262	6	335	8	262
ENSG00000005889	526	381	22	882	583	381
ENSG00000005893	2149	1374	2	2868	4685	1374
ENSG00000005961	1	0	3	0	0	0
ENSG00000005981	0	0	0	0	0	0
ENSG00000006007	286	1149	4941	510	8	1149
ENSG00000006015	959	1339	5	1624	1294	1339
ENSG00000006016	1	3	0	24	0	3
ENSG00000006025	11	1047	54	124	2820	1047
ENSG00000006042	1	0	4	0	0	0
ENSG00000006047	0	0	0	36	0	0
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	958	898	7	1388	7	898
ENSG00000006071	0	0	0	1	0	0
ENSG00000006116	0	0	0	0	0	0
ENSG00000006118	0	0	0	0	0	0
ENSG00000006125	2609	1102	77	2679	930	1102
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194	551	451	0	477	712	451
ENSG00000006210	0	0	0	0	0	0
ENSG00000006282	379	981	8	5	2944	981
ENSG00000006283	0	0	0	0	0	0
ENSG00000006327	1	102	1	62	0	102
ENSG00000006377	0	0	0	0	0	0
ENSG00000006432	4	218	0	350	5	218
ENSG00000006451	3956	6121	633	5601	5516	6121
ENSG00000006453	2	1	1	0	0	1
ENSG00000006459	3310	1158	0	1555	1414	1158
ENSG00000006468	0	225	0	0	1	225
ENSG00000006530	1585	770	3	1944	3094	770
ENSG00000006534	0	0	0	0	0	0
ENSG00000006555	1102	349	0	240	6	349
ENSG00000006576	2	485	11771	338	3	485
ENSG00000006606	0	0	0	0	0	0
ENSG00000006607	0	515	2	284	4139	515
ENSG00000006611	0	0	0	0	0	0
ENSG00000006625	595	270	10	772	1	270
ENSG00000006634	1	168	0	130	819	168
ENSG00000006638	0	0	0	251	0	0
ENSG00000006652	259	372	3171	378	825	372
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	74	155	272	322	5	155
ENSG00000006704	2	377	1	7	0	377
ENSG00000006712	2596	1713	21	1248	762	1713
ENSG00000006715	1493	92	0	1796	40	92
ENSG00000006740	9	39	1	251	0	39
ENSG00000006744	6166	2644	13	3775	3608	2644
ENSG00000006747	0	137	0	217	0	137
ENSG00000006756	0	0	0	0	0	0
ENSG00000006757	417	117	0	564	0	117
ENSG00000006788	0	0	0	0	0	0
ENSG00000006831	552	3445	0	2419	1	3445
ENSG00000006837	0	0	0	1	0	0
ENSG00000007001	1	0	0	0	0	0
ENSG00000007038	132	101	0	335	0	101
ENSG00000007047	148	153	0	358	16	153
ENSG00000007062	0	0	6	0	0	0
ENSG00000007080	735	647	25	832	52	647
ENSG00000007129	189	121	0	632	1745	121
ENSG00000007168	3837	3447	3	3833	2020	3447
ENSG00000007171	0	0	0	0	0	0
ENSG00000007174	0	0	0	0	0	0
